,A,B-1,B-2,C-1,C-2,D,E,F,G,H-1,H-2
GTEX-12584-1426-SM-5EGJ9,0.0915737288409742,-0.313375164444414,1.47370974505177,0.103347897962573,-0.236270300222718,-0.147815226792577,1.64415094845328,0.657584513511007,-0.348245078709935,-1.97418045678091,3.292428063207
GTEX-12696-1026-SM-5FQUV,0.826228933114348,-0.321034654884313,-0.183722498102846,-0.298275275845194,0.769631986692097,-0.140683080257536,1.53055732298402,1.10498872043602,0.348401158040981,-2.15048713032083,2.64672453111792
GTEX-1269C-0926-SM-5FQSR,1.80038363973645,-0.311433014371369,0.886089995908632,0.609338034479925,-1.37091724257206,-0.190350870811526,0.523984551135856,1.03805628893183,-0.57192694889135,7.29583103350254,-5.43751831026437
GTEX-12BJ1-1026-SM-5EGJA,-0.577387531254276,0.729362095849724,0.0802111933905073,0.661165472278915,-1.2256779402103,1.10805346494949,-0.619092520740209,0.703123931604066,-0.630066771064488,-2.05602207953071,2.64948297013176
GTEX-12KS4-0726-SM-5FQSX,-0.651269993938267,0.0780481441562195,0.607503948344525,0.18242689917579,4.08869810224851,-0.299948507583124,-1.05298950871969,1.26847798287959,0.0475621961174123,-1.94368939173562,2.95103754390604
GTEX-12WSA-1026-SM-5EGHN,-1.00932581620586,0.151072545060031,-0.717565098993745,-0.239956091455136,-1.49753714309893,1.31042397497184,-0.256281475725654,-0.0658882394311361,-0.782555519343423,-1.74091713555293,2.88888019900455
GTEX-12WSD-0826-SM-5GCNE,1.18761796707302,-0.256999362562828,0.316710009008962,-0.367464775065941,1.50470239403533,0.640768515752237,0.193933618755157,-0.214051160403433,-0.266264441712424,6.5118677030694,-6.33678622316292
GTEX-12WSE-0826-SM-5S2VL,0.684988675111218,-0.923400256979467,0.182217698097345,0.616010398173881,-1.71534531293537,-0.219919821538879,-1.44416247227355,-0.0559656292129844,0.282389547380035,-3.21619436742084,2.9494012905323
GTEX-12WSG-5004-SM-7EPG9,-0.667329202553749,-0.357254679654836,0.0214200999935071,0.211893305767779,-1.03000566675314,-0.115860974314866,0.408637544002059,-0.433857496219138,0.151562767980608,2.77505194028963,-6.75448396158336
GTEX-12WSH-0126-SM-5GCO3,1.32347821745776,-0.580122835946191,0.721750570675338,-0.0785693517001451,-3.485093371986,1.01188154964181,0.314654510433179,0.278792213818545,-0.459254789980749,-2.00866054105555,3.10536673531539
